date,edition,source_url,markdown_filename,release_tag
2026-05-22,VES,https://www.dof.gob.mx/abrirPDF.php?archivo=22052026-VES.pdf&anio=2026&repo=repositorio/,22052026-VES.md,dof-2026
2026-05-25,MAT,https://www.dof.gob.mx/abrirPDF.php?archivo=25052026-MAT.pdf&anio=2026&repo=repositorio/,25052026-MAT.md,dof-2026
2026-05-25,VES,https://www.dof.gob.mx/abrirPDF.php?archivo=25052026-VES.pdf&anio=2026&repo=repositorio/,25052026-VES.md,dof-2026
2026-05-26,MAT,https://www.dof.gob.mx/abrirPDF.php?archivo=26052026-MAT.pdf&anio=2026&repo=repositorio/,26052026-MAT.md,dof-2026
2026-05-27,MAT,https://www.dof.gob.mx/abrirPDF.php?archivo=27052026-MAT.pdf&anio=2026&repo=repositorio/,27052026-MAT.md,dof-2026
2026-05-27,VES,https://www.dof.gob.mx/abrirPDF.php?archivo=27052026-VES.pdf&anio=2026&repo=repositorio/,27052026-VES.md,dof-2026
2026-05-28,MAT,https://www.dof.gob.mx/abrirPDF.php?archivo=28052026-MAT.pdf&anio=2026&repo=repositorio/,28052026-MAT.md,dof-2026
2026-05-29,MAT,https://www.dof.gob.mx/abrirPDF.php?archivo=29052026-MAT.pdf&anio=2026&repo=repositorio/,29052026-MAT.md,dof-2026
2026-05-29,VES,https://www.dof.gob.mx/abrirPDF.php?archivo=29052026-VES.pdf&anio=2026&repo=repositorio/,29052026-VES.md,dof-2026
2026-06-01,MAT,https://www.dof.gob.mx/abrirPDF.php?archivo=01062026-MAT.pdf&anio=2026&repo=repositorio/,01062026-MAT.md,dof-2026
2026-06-02,MAT,https://www.dof.gob.mx/abrirPDF.php?archivo=02062026-MAT.pdf&anio=2026&repo=repositorio/,02062026-MAT.md,dof-2026
2026-06-02,VES,https://www.dof.gob.mx/abrirPDF.php?archivo=02062026-VES.pdf&anio=2026&repo=repositorio/,02062026-VES.md,dof-2026
2026-06-03,MAT,https://www.dof.gob.mx/abrirPDF.php?archivo=03062026-MAT.pdf&anio=2026&repo=repositorio/,03062026-MAT.md,dof-2026
2026-06-04,MAT,https://www.dof.gob.mx/abrirPDF.php?archivo=04062026-MAT.pdf&anio=2026&repo=repositorio/,04062026-MAT.md,dof-2026
2026-06-04,VES,https://www.dof.gob.mx/abrirPDF.php?archivo=04062026-VES.pdf&anio=2026&repo=repositorio/,04062026-VES.md,dof-2026
2026-06-05,MAT,https://www.dof.gob.mx/abrirPDF.php?archivo=05062026-MAT.pdf&anio=2026&repo=repositorio/,05062026-MAT.md,dof-2026
2026-06-05,VES,https://www.dof.gob.mx/abrirPDF.php?archivo=05062026-VES.pdf&anio=2026&repo=repositorio/,05062026-VES.md,dof-2026
2026-06-08,MAT,https://www.dof.gob.mx/abrirPDF.php?archivo=08062026-MAT.pdf&anio=2026&repo=repositorio/,08062026-MAT.md,dof-2026
2026-06-09,MAT,https://www.dof.gob.mx/abrirPDF.php?archivo=09062026-MAT.pdf&anio=2026&repo=repositorio/,09062026-MAT.md,dof-2026
2026-06-09,VES,https://www.dof.gob.mx/abrirPDF.php?archivo=09062026-VES.pdf&anio=2026&repo=repositorio/,09062026-VES.md,dof-2026
2026-06-10,MAT,https://www.dof.gob.mx/abrirPDF.php?archivo=10062026-MAT.pdf&anio=2026&repo=repositorio/,10062026-MAT.md,dof-2026
2026-06-11,MAT,https://www.dof.gob.mx/abrirPDF.php?archivo=11062026-MAT.pdf&anio=2026&repo=repositorio/,11062026-MAT.md,dof-2026
2026-06-12,MAT,https://www.dof.gob.mx/abrirPDF.php?archivo=12062026-MAT.pdf&anio=2026&repo=repositorio/,12062026-MAT.md,dof-2026
2026-06-12,VES,https://www.dof.gob.mx/abrirPDF.php?archivo=12062026-VES.pdf&anio=2026&repo=repositorio/,12062026-VES.md,dof-2026
2026-06-15,MAT,https://www.dof.gob.mx/abrirPDF.php?archivo=15062026-MAT.pdf&anio=2026&repo=repositorio/,15062026-MAT.md,dof-2026
2026-06-16,MAT,https://www.dof.gob.mx/abrirPDF.php?archivo=16062026-MAT.pdf&anio=2026&repo=repositorio/,16062026-MAT.md,dof-2026
